iter	Logloss
0	0.5860842658
1	0.5101007475
2	0.4566866404
3	0.4188214521
4	0.3917499922
5	0.3724921633
6	0.3576352115
7	0.3470802423
8	0.3385522416
9	0.3324288404
10	0.3277641546
11	0.3237922721
12	0.3206780737
13	0.317989164
14	0.3159768916
15	0.3141813442
16	0.3126192424
17	0.3114191253
18	0.3103788706
19	0.3092992385
20	0.3083261499
21	0.3073863961
22	0.3066388159
23	0.3057618925
24	0.3050601938
25	0.304361155
26	0.303718883
27	0.303060881
28	0.3024241866
29	0.3018423194
30	0.3012317593
31	0.3007629435
32	0.3002679364
33	0.2997734647
34	0.2992280177
35	0.2987113032
36	0.298198325
37	0.2976818431
38	0.2972532344
39	0.2967720215
40	0.2963449133
41	0.2959021079
42	0.2955164318
43	0.2950666936
44	0.2946523304
45	0.2942394378
46	0.2938654707
47	0.2934775092
48	0.2931490592
49	0.2928376625
50	0.2924464956
51	0.2921200616
52	0.2917910401
53	0.2914456142
54	0.2911139529
55	0.290783906
56	0.2904477416
57	0.2900924917
58	0.289787852
59	0.2894821783
60	0.2891572158
61	0.2888252951
62	0.2884979614
63	0.288175395
64	0.2878718313
65	0.2875818695
66	0.2872809422
67	0.2869874709
68	0.2866839514
69	0.2864229977
70	0.2861178513
71	0.2858201147
72	0.2855532906
73	0.2853293441
74	0.2850823428
75	0.2848686288
76	0.2845957176
77	0.2843665586
78	0.2841004027
79	0.2838503028
80	0.2835780878
81	0.2833344404
82	0.2830655494
83	0.2828371187
84	0.2826393701
85	0.2824163586
86	0.2821949499
87	0.281985207
88	0.2817683131
89	0.2815438644
90	0.281334936
91	0.281092415
92	0.2808705733
93	0.2806655683
94	0.2804243245
95	0.280234815
96	0.2800174285
97	0.279825096
98	0.2795848442
99	0.2793892703
100	0.2791716981
101	0.2789810776
102	0.2787763937
103	0.2785798069
104	0.2783798867
105	0.278202959
106	0.2780085362
107	0.2778370563
108	0.2776315403
109	0.2774547582
110	0.2772779685
111	0.2770940562
112	0.2769314986
113	0.2767500466
114	0.2765863939
115	0.276428042
116	0.2762654585
117	0.2760984365
118	0.2759299444
119	0.2757573381
120	0.2755842584
121	0.2754200719
122	0.2752573812
123	0.2750901776
124	0.2748988519
125	0.2747698078
126	0.2745936602
127	0.2744536809
128	0.2743178171
129	0.2741762617
130	0.2739995002
131	0.2738436288
132	0.273680274
133	0.2735244315
134	0.273364341
135	0.2732231008
136	0.2730561577
137	0.2729145701
138	0.2727759284
139	0.272601454
140	0.2724483763
141	0.2723093976
142	0.2721790582
143	0.2720466585
144	0.27192042
145	0.2717884386
146	0.2716532425
147	0.2715289955
148	0.2714131601
149	0.2712831255
150	0.2711476369
151	0.2710120211
152	0.2708806361
153	0.2707431889
154	0.2706136599
155	0.2704796356
156	0.2703525385
157	0.2702501745
158	0.2701180989
159	0.2699989726
160	0.2698703279
161	0.2697412708
162	0.2696279626
163	0.2695185961
164	0.2694054103
165	0.2692878897
166	0.2691496396
167	0.2690113297
168	0.268904352
169	0.2687864503
170	0.2686788442
171	0.2685559441
172	0.2684333286
173	0.2683000852
174	0.2681895499
175	0.2680642161
176	0.2679606123
177	0.2678687066
178	0.2677553137
179	0.2676624823
180	0.2675547281
181	0.267428951
182	0.2673082201
183	0.2672006433
184	0.2670872547
185	0.2669663037
186	0.2668417607
187	0.2667293432
188	0.2666229189
189	0.2665282802
190	0.2664219918
191	0.2663028472
192	0.2662111458
193	0.2660838033
194	0.2659705649
195	0.2658698644
196	0.2657772287
197	0.2656735653
198	0.2655674258
199	0.265467632
200	0.2653627341
201	0.2652797504
202	0.2651763817
203	0.2650778065
204	0.2649765792
205	0.2648586987
206	0.264750372
207	0.2646467766
208	0.2645540258
209	0.2644451059
210	0.264367945
211	0.2642668512
212	0.2641489174
213	0.2640522553
214	0.2639546575
215	0.2638557075
216	0.2637458554
217	0.2636505693
218	0.2635359763
219	0.2634463322
220	0.2633391237
221	0.2632459417
222	0.2631569892
223	0.2630548622
224	0.2629564084
225	0.2628671276
226	0.2627818007
227	0.2626970467
228	0.2625863317
229	0.262503641
230	0.2624132732
231	0.2623208533
232	0.2622362916
233	0.262139487
234	0.2620468543
235	0.261951308
236	0.2618572952
237	0.2617641516
238	0.2616796562
239	0.261600976
240	0.2615072016
241	0.2614195783
242	0.2613311286
243	0.2612454125
