iter	Passed	Remaining
0	121	243633
1	243	243531
2	355	236431
3	484	241806
4	609	243006
5	728	242170
6	856	243955
7	957	238325
8	1064	235538
9	1173	233578
10	1278	231237
11	1387	229786
12	1489	227683
13	1597	226646
14	1704	225543
15	1807	224106
16	1912	223139
17	2018	222298
18	2125	221595
19	2228	220629
20	2329	219480
21	2437	219185
22	2539	218298
23	2639	217290
24	2740	216477
25	2841	215751
26	2947	215402
27	3049	214751
28	3151	214163
29	3259	214041
30	3366	213796
31	3464	213068
32	3566	212556
33	3667	212060
34	3789	212734
35	3893	212398
36	3996	212043
37	4095	211481
38	4203	211379
39	4305	210977
40	4410	210751
41	4519	210717
42	4623	210428
43	4730	210273
44	4837	210156
45	4937	209756
46	5047	209727
47	5147	209346
48	5248	208968
49	5347	208557
50	5462	208763
51	5566	208538
52	5672	208389
53	5782	208378
54	5884	208080
55	5991	207998
56	6100	207937
57	6208	207885
58	6308	207543
59	6410	207265
60	6533	207672
61	6640	207567
62	6750	207536
63	6860	207536
64	6968	207461
65	7076	207377
66	7176	207041
67	7284	206953
68	7387	206753
69	7496	206677
70	7608	206712
71	7709	206443
72	7821	206458
73	7929	206368
74	8036	206270
75	8145	206220
76	8254	206151
77	8378	206465
78	8494	206553
79	8609	206624
80	8710	206367
81	8810	206086
82	8918	205980
83	9023	205824
84	9134	205792
85	9242	205709
86	9344	205463
87	9454	205416
88	9560	205276
89	9670	205224
90	9775	205064
91	9882	204947
92	9990	204867
93	10095	204707
94	10212	204788
95	10314	204579
96	10423	204491
97	10533	204430
98	10649	204483
99	10766	204555
100	10882	204608
101	10981	204349
102	11095	204355
103	11202	204238
104	11314	204199
105	11416	203987
106	11526	203918
107	11635	203834
108	11739	203656
109	11841	203452
110	11944	203275
111	12053	203194
112	12156	203009
113	12263	202881
114	12371	202789
115	12481	202710
116	12584	202528
117	12690	202402
118	12796	202275
119	12897	202068
120	13004	201948
121	13104	201717
122	13215	201664
123	13317	201476
124	13428	201422
125	13535	201307
126	13634	201077
127	13744	201015
128	13844	200798
129	13958	200782
130	14071	200767
131	14174	200595
132	14280	200466
133	14383	200289
134	14483	200088
135	14583	199881
136	14687	199724
137	14802	199723
138	14906	199574
139	15021	199572
140	15119	199337
141	15230	199278
142	15341	199228
143	15442	199033
144	15548	198911
145	15662	198897
146	15765	198729
147	15873	198638
148	15978	198502
149	16091	198456
150	16196	198326
151	16298	198161
152	16409	198093
153	16513	197942
154	16631	197966
155	16741	197896
156	16847	197768
157	16965	197784
158	17066	197608
159	17184	197623
160	17294	197549
161	17399	197407
162	17514	197391
163	17618	197242
164	17733	197218
165	17839	197094
166	17953	197060
167	18063	196976
168	18172	196884
169	18278	196767
170	18387	196672
171	18497	196586
172	18609	196526
173	18720	196453
174	18819	196262
175	18926	196144
176	19034	196045
177	19148	196003
178	19261	195947
179	19375	195903
180	19477	195738
181	19585	195640
182	19693	195533
183	19810	195517
184	19922	195458
185	20026	195311
186	20131	195177
187	20237	195059
188	20341	194912
189	20450	194819
190	20562	194747
191	20674	194685
192	20795	194703
193	20896	194527
194	21000	194389
195	21115	194348
196	21230	194306
197	21339	194209
198	21437	194017
199	21544	193897
200	21655	193820
201	21754	193638
202	21857	193486
203	21977	193489
204	22090	193427
205	22197	193310
206	22309	193243
207	22418	193143
208	22538	193136
209	22646	193031
210	22754	192928
211	22860	192803
212	22965	192675
213	23078	192611
214	23186	192505
215	23287	192334
216	23406	192320
217	23514	192216
218	23613	192035
219	23722	191934
220	23845	191950
221	23955	191863
222	24072	191822
223	24177	191690
224	24286	191592
225	24391	191461
226	24510	191438
227	24624	191382
228	24732	191268
229	24844	191198
230	24957	191125
231	25073	191077
232	25183	190985
233	25295	190904
234	25414	190881
235	25527	190803
236	25641	190741
237	25756	190681
238	25863	190567
239	25983	190547
240	26089	190420
241	26197	190311
242	26304	190190
243	26419	190130
244	26530	190045
245	26638	189937
246	26753	189874
247	26870	189824
248	26984	189758
249	27090	189634
250	27197	189512
251	27310	189442
252	27428	189396
253	27533	189263
254	27645	189184
255	27744	189006
256	27846	188856
257	27952	188731
258	28052	188566
259	28151	188395
260	28256	188271
261	28370	188196
262	28490	188164
263	28601	188078
264	28705	187940
265	28821	187880
266	28937	187824
267	29044	187707
268	29147	187565
269	29263	187504
270	29380	187447
271	29488	187340
272	29605	187282
273	29704	187113
274	29808	186980
275	29915	186862
276	30023	186754
